Client,regnr,Marke,Fordonsslag,Fordonsstatus,Karosserikod,Arsmodell,TotalVikt,Egenklass,Motoreffekt,Handelsbet,Karossny,api_matched,UW_Kategori,classification_method,classification_confidence,classification_reasoning
Client - 17,REGNR1853,"VW CARAVELLE 2,5 SYNCRO",PB,ITRAFIK,Kombi,2010.0,,Personbil,810,,Kombi,True,Personbil,rule_based,,
Client - 17,REGNR1854,FORD,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,1100,S-MAX,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1855,"VOLVO 945-811 S 2,3",PB,AVST,Kombi,2010.0,,Personbil,990,,Kombi,True,Personbil,rule_based,,
Client - 17,REGNR1856,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1857,JOHN DEERE M,TR,ITRAFIK,Traktor,2010.0,,Traktor,670,5090R,Traktor,True,"Traktor, minitraktor, åkgräsklippare",rule_based,,
Client - 17,REGNR1858,"VW PICK UP DH 2,0 332",LB,ITRAFIK,Lastbil,2010.0,,Lätt lastbil,620,,Lastbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1859,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1860,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,810,T-ROC,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1861,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1862,FIAT,LB,ITRAFIK,Skåpbil,2023.0,,Lätt lastbil,770,FIAT DOBLO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1863,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2019.0,,Personbil,1100,KAROQ,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1864,NISSAN,PB,ITRAFIK,Fordon avsett för fler ändamål,2022.0,,Personbil,,NISSAN LEAF 40KWH,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 17,REGNR1865,TIKI-TREILER C163,SLÄP,ITRAFIK,Flak - Godslåda,2012.0,,Lätt släp,,C-265,Flak - Godslåda,True,Släp,rule_based,,
Client - 17,REGNR1866,VOLVO B + XC70,PB,ITRAFIK,Stationsvagn kombivagn,2013.0,,Personbil,1200,XC70,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1867,FORD,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,880,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1868,NISSAN,LB,ITRAFIK,Pick-up,2021.0,,Lätt lastbil,1200,NISSAN NAVARA,Pick-up,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1869,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2019.0,,Personbil,1100,KAROQ,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1870,VOLVO B12M,LB,ITRAFIK,Skåp - Övrigt,2008.0,,Lastbil,2500,,Skåp - Övrigt,True,Tung lastbil,rule_based,,
Client - 17,REGNR1871,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2016.0,,Personbil,810,GOLF,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1872,EKERI S8-D,SLÄP,ITRAFIK,Släpvagn med dragstång,2014.0,,Tungt släp,,EKERI,Släpvagn med dragstång,True,Tungt släp,rule_based,,
Client - 17,REGNR1873,RENAULT W,LB,ITRAFIK,Skåpbil,2014.0,,Lätt lastbil,550,KANGOO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1874,FORD,PB,ITRAFIK,Halvkombi,2016.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1875,RESPO,SLÄP,ITRAFIK,Släpkärra,2019.0,,,,,,False,Släp,ml_model,0.684,LogReg: Släp (68%)
Client - 17,REGNR1876,"VOLKSWAGEN, VW  1KM",PB,ITRAFIK,Stationsvagn kombivagn,2012.0,,Personbil,770,GOLF,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1877,NEPTUN,SLÄP,ITRAFIK,Släpkärra,2015.0,,Lätt släp,,N7-263 2 KPS,Släpkärra,True,Släp,rule_based,,
Client - 17,REGNR1878,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1879,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,810,KAROQ,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1880,LIEDHOLMS S4CL-123-2333,SLÄP,ITRAFIK,Tank - Övrigt,1997.0,,Tungt släp,,,Tank - Övrigt,True,Tungt släp,rule_based,,
Client - 17,REGNR1881,KUBOTA L 245 DT,TR,ITRAFIK,Traktor,1982.0,,???,180,,Traktor,False,"Traktor, minitraktor, åkgräsklippare",ml_model,0.789,"LogReg: Traktor, minitraktor, åkgräsklippare (79%)"
Client - 17,REGNR1882,VOLVO S + V70,PB,ITRAFIK,Stationsvagn kombivagn,2007.0,,Personbil,1200,,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1883,FIAT,LB,ITRAFIK,Skåpbil,2023.0,,Lätt lastbil,770,FIAT DOBLO,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1884,SEAT,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,1100,SEAT ATECA,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1885,KILAFORS SBLB4AF 36103,SLÄP,ITRAFIK,Banke,1999.0,,Tungt släp,,,Banke,True,Tungt släp,rule_based,,
Client - 17,REGNR1886,FORD,PB,ITRAFIK,Halvkombi,2018.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1887,FORD,LB,ITRAFIK,Skåpbil,2019.0,,Lätt lastbil,956,TRANSIT CUSTOM,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1888,SKODA,PB,ITRAFIK,Stationsvagn kombivagn,2016.0,,Personbil,1100,YETI,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1889,FORD,PB,ITRAFIK,Halvkombi,2016.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
Client - 17,REGNR1890,ZORZI 36 R 125 /19 P,SLÄP,AVST,Skåp,1990.0,,Tungt släp,,,Skåp,True,Tungt släp,rule_based,,
Client - 17,REGNR1891,"VOLVO 944-833 S 2,3",PB,AVST,Täckt,1994.0,,Personbil,850,,Täckt,True,Personbil,rule_based,,
Client - 17,REGNR1892,"VW PICKUP DH 2,5 7JD101",LB,ITRAFIK,Flak - Lämmar,2009.0,,Lätt lastbil,960,,Flak - Lämmar,True,Lätt lastbil,rule_based,,
Client - 17,REGNR1893,MASSEY FERGUSON,TR,ITRAFIK,Traktor,2019.0,,???,600,MF 4708,Traktor,False,"Traktor, minitraktor, åkgräsklippare",ml_model,0.789,"LogReg: Traktor, minitraktor, åkgräsklippare (79%)"
Client - 17,REGNR1894,"VOLKSWAGEN, VW  2K",PB,ITRAFIK,Fordon avsett för fler ändamål,2010.0,,Personbil,550,CADDY,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 17,REGNR1895,SEAT,PB,ITRAFIK,Stationsvagn kombivagn,2021.0,,Personbil,960,SEAT LEON SP,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 17,REGNR1896,FORD DYB,PB,ITRAFIK,Halvkombi,2011.0,,Personbil,700,FOCUS,Halvkombi,True,Personbil,rule_based,,
