Client,CLAIM_TYPE,CLAIM_CAUSE,CLAIM_YEAR,DAMAGE_DATE,LAST_MONTH_NET_PAID,LAST_MONTH_REMAINING_RESERVES,LAST_MONTH_INCURRED,DEDUCTIBLE,FLEET_TYPE,FLEET_GROUP,Net paid adj,Reserves adj,Incurred adj,idx,Net paid idx,Reserves idx,Incurred idx,Incl. 0,Ex. 0,minor,major
Client - 39,"Ansvar, Vagn","Annan olycka, Annan olycka",2021,2021-08-31,0,0,0,0,Släp,Släp,0,0,0,1.110381205992676,0.0,0.0,0.0,1,0,0,0
Client - 39,Ansvar,Hit property,2022,2022-01-31,43086,0,43086,0,Brandfordon,Tung lastbil yrkestrafik,43086,0,43086,1.0819545435889897,46617.09346507521,0.0,46617.09346507521,1,1,46617,0
Client - 39,Partly own damage,Glass - replacement of windshield,2022,2022-12-07,5259,0,5259,0,Personbil,Personbil Halv,5259,0,5259,1.0288339214644617,5410.637592981604,0.0,5410.637592981604,1,1,5410,0
Client - 39,"Additional insurance, Ansvar, Vagn","Rental car, Hit property, Annan olycka",2021,2021-10-24,50083,0,50083,0,Personbil,Personbil Avställd,50083,0,50083,1.1000866940755794,55095.64189938724,0.0,55095.64189938724,1,1,55095,0
Client - 39,Partly own damage,Glass - replacement of windshield,2022,2022-11-30,1788,0,1788,0,Lätt lastbil,Lätt lastbil,1788,0,1788,1.0328665478267447,1846.7653875142196,0.0,1846.7653875142196,1,1,1846,0
Client - 39,Partly own damage,Glass - replacement of windshield,2021,2021-05-31,2496,0,2496,0,Lätt lastbil,Lätt lastbil,2496,0,2496,1.124962624879171,2807.906711698411,0.0,2807.906711698411,1,1,2807,0
Client - 39,Ansvar,Hit property,2020,2020-09-17,17737,0,17737,0,Brandfordon,Tung lastbil yrkestrafik,17737,0,17737,1.1542833305193285,20473.52343342133,0.0,20473.52343342133,1,1,20473,0
Client - 39,Partly own damage,Machine damage,2023,2023-07-13,0,10823,10823,0,Personbil,Personbil Halv,0,10823,10823,1.0032868372062096,0.0,10858.573439082806,10858.573439082806,1,1,10858,0
Client - 39,"Additional insurance, Vagn, Ansvar","Rental car, Annan olycka, Hit property",2021,2021-07-05,15756,0,15756,0,Personbil,Personbil Hel,15756,0,15756,1.1147801077725092,17564.475378063657,0.0,17564.475378063657,1,1,17564,0
Client - 39,Partly own damage,Rescue,2021,2021-12-15,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.0875911369863258,0.0,0.0,0.0,1,0,0,0
Client - 39,"Ansvar, Additional insurance","Yield, Rental car",2022,2022-07-07,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.0499918221198097,0.0,0.0,0.0,1,0,0,0
Client - 39,"Additional insurance, Ansvar","Rental car, Møtekollisjon",2022,2022-09-19,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.041228241270539,0.0,0.0,0.0,1,0,0,0
Client - 39,Partly own damage,Glass - replacement of windshield,2022,2022-09-01,0,0,0,0,Brandfordon,Lätt brandfordon,0,0,0,1.041228241270539,0.0,0.0,0.0,1,0,0,0
Client - 39,"Partly own damage, Additional insurance","Innbrudd, Rental car",2022,2022-06-20,19359,0,19359,0,Personbil,Personbil Avställd,19359,0,19359,1.054526910261884,20414.58645575981,0.0,20414.58645575981,1,1,20414,0
Client - 39,"Additional insurance, Vagn, Ansvar","Rental car, Annan olycka, Påkjørt parkert bil",2021,2021-11-03,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.093799709780107,0.0,0.0,0.0,1,0,0,0
Client - 39,Partly own damage,Glass - replacement of windshield,2021,2021-10-24,2217,0,2217,0,Lätt lastbil,Lätt lastbil,2217,0,2217,1.1000866940755794,2438.892200765559,0.0,2438.892200765559,1,1,2438,0
Client - 39,"Additional insurance, Vagn","Rental car, Single vehicle accident",2023,2023-02-17,0,13823,13823,0,Personbil,Personbil Halv,0,13823,13823,1.0210603684950852,0.0,14114.117473707563,14114.117473707563,1,1,14114,0
Client - 39,Ansvar,Only personal injury,2023,2023-05-24,1125,0,1125,0,Lätt lastbil,Lätt lastbil EL,1125,0,1125,1.0101158457175077,1136.3803264321962,0.0,1136.3803264321962,1,1,1136,0
Client - 39,Bilansvar,Påkörd/bilolycka,2023,2023-05-24,0,85000,85000,0,,,0,85000,85000,1.0101158457175077,0.0,85859.84688598815,85859.84688598815,1,1,85859,0
Client - 39,"Additional insurance, Ansvar, Vagn","Rental car, Annan olycka, Annan olycka",2023,2023-05-24,0,0,0,0,Lätt lastbil,Lätt lastbil EL,0,0,0,1.0101158457175077,0.0,0.0,0.0,1,0,0,0
Client - 39,"Ansvar, Additional insurance, Vagn","Møtekollisjon, Rental car, Annan olycka",2022,2022-02-10,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.0760148127716114,0.0,0.0,0.0,1,0,0,0
Client - 39,"Ansvar, Additional insurance, Vagn","Hit property, Rental car, Annan olycka",2022,2022-08-08,49471,0,49471,0,Lätt lastbil,Lätt lastbil,49471,0,49471,1.0455592846950434,51724.863373148495,0.0,51724.863373148495,1,1,51724,0
Client - 39,Partly own damage,Glass - replacement of windshield,2023,2023-02-13,6820,0,6820,0,Personbil,Personbil Halv,6820,0,6820,1.0210603684950852,6963.631713136481,0.0,6963.631713136481,1,1,6963,0
Client - 39,Partly own damage,Glass - repair,2023,2023-03-15,2213,0,2213,0,Lätt lastbil,Lätt lastbil,2213,0,2213,1.0173176239356971,2251.323901769698,0.0,2251.323901769698,1,1,2251,0
Client - 39,"Additional insurance, Vagn, Ansvar","Rental car, Annan olycka, Backat på annat fordon ",2019,2019-01-15,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.203864927191195,0.0,0.0,0.0,1,0,0,0
Client - 39,Partly own damage,Glass - replacement of windshield,2019,2019-08-06,5311,0,5311,0,Brandfordon,Tung lastbil yrkestrafik,5311,0,5311,1.1799791046919559,6266.8690250189775,0.0,6266.8690250189775,1,1,6266,0
Client - 39,"Vagn, Additional insurance, Ansvar","Annan olycka, Rental car, Påkjørt parkert bil",2021,2021-07-06,23863,0,23863,0,Lätt lastbil,Lätt lastbil,23863,0,23863,1.1147801077725092,26601.997711775388,0.0,26601.997711775388,1,1,26601,0
Client - 39,Ansvar,Hit property,2021,2021-11-21,2620,0,2620,0,Personbil,Personbil Hel,2620,0,2620,1.093799709780107,2865.7552396238807,0.0,2865.7552396238807,1,1,2865,0
Client - 39,Partly own damage,Glass - replacement of windshield,2022,2022-06-02,2782,0,2782,0,Personbil,Personbil Hel,2782,0,2782,1.054526910261884,2933.693864348561,0.0,2933.693864348561,1,1,2933,0
Client - 39,Partly own damage,Glass - repair,2023,2023-04-27,2865,0,2865,0,Personbil,Personbil Hel,2865,0,2865,1.0136697314539869,2904.1637806156723,0.0,2904.1637806156723,1,1,2904,0
Client - 39,"Vagn, Additional insurance","Parking damage, Rental car",2023,2023-06-21,0,3605,3605,0,Lätt lastbil,Lätt lastbil,0,3605,3605,1.0066551462666173,0.0,3628.9918022911556,3628.9918022911556,1,1,3628,0
Client - 4,"Vagnskadegaranti, Additional insurance","Single vehicle accident, Rental car",2019,2019-03-06,2170,0,2170,0,Personbil,Personbil Hel,2170,0,2170,1.1963179725577933,2596.0100004504116,0.0,2596.0100004504116,1,1,2596,0
Client - 4,Additional insurance,Rental car,2019,2019-03-04,1800,0,1800,0,Personbil,Personbil Hel,1800,0,1800,1.1963179725577933,2153.372350604028,0.0,2153.372350604028,1,1,2153,0
